VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 00:00:03,2016-03-01 00:08:34,1,1.59,-73.982269287109375,40.770618438720703,1,N,-73.968742370605469,40.755039215087891,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2016-03-01 00:00:03,2016-03-01 00:32:45,3,16.81,-73.792388916015625,40.645030975341797,2,N,-73.986289978027344,40.758518218994141,1,52,0,0.5,8,5.54,0.3,66.34
1,2016-03-01 00:00:04,2016-03-01 00:03:30,2,.50,-73.983787536621094,40.731891632080078,1,N,-73.975814819335938,40.728519439697266,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2016-03-01 00:00:04,2016-03-01 00:06:11,1,.60,-73.999412536621094,40.738563537597656,1,N,-74.002456665039063,40.745326995849609,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2016-03-01 00:00:04,2016-03-01 00:19:39,1,9.90,-73.865859985351563,40.77117919921875,1,N,-73.923843383789063,40.698432922363281,2,28.5,0.5,0.5,0,0,0.3,29.8
2,2016-03-01 00:00:04,2016-03-01 00:02:24,2,.80,-73.966423034667969,40.761650085449219,1,N,-73.959022521972656,40.768180847167969,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2016-03-01 00:00:05,2016-03-01 00:02:50,2,.49,-73.9898681640625,40.757118225097656,1,N,-73.985389709472656,40.763191223144531,2,4,0.5,0.5,0,0,0.3,5.3
2,2016-03-01 00:00:05,2016-03-01 00:14:55,1,5.31,-73.98406982421875,40.742900848388672,1,N,-73.942710876464844,40.714729309082031,1,17,0.5,0.5,4.58,0,0.3,22.88
1,2016-03-01 00:00:06,2016-03-01 00:12:11,1,3.50,-74.000419616699219,40.727462768554688,1,N,-73.947738647460938,40.709873199462891,2,13,0.5,0.5,0,0,0.3,14.3
2,2016-03-01 00:00:06,2016-03-01 00:31:11,2,9.14,-73.990806579589844,40.757652282714844,1,N,-73.881484985351563,40.738883972167969,1,31,0.5,0.5,6.46,0,0.3,38.76
2,2016-03-01 00:00:06,2016-03-01 00:07:08,5,2.17,-73.975486755371094,40.787033081054687,1,N,-73.952957153320313,40.807643890380859,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2016-03-01 00:00:07,2016-03-01 00:36:51,1,18.03,-73.789413452148437,40.647018432617188,2,N,-74.000991821289063,40.726940155029297,1,52,0,0.5,13.2,0,0.3,66
1,2016-03-01 00:00:08,2016-03-01 00:03:22,1,1.00,-73.981124877929688,40.737300872802734,1,N,-73.988014221191406,40.725601196289063,1,5,0.5,0.5,1,0,0.3,7.3
2,2016-03-01 00:00:08,2016-03-01 00:26:18,1,11.53,-73.992301940917969,40.749713897705078,1,N,-74.030715942382812,40.618621826171875,2,33.5,0.5,0.5,0,0,0.3,34.8
2,2016-03-01 00:00:08,2016-03-01 00:16:31,4,4.26,-74.007942199707031,40.706268310546875,1,N,-73.9564208984375,40.718898773193359,2,16,0.5,0.5,0,0,0.3,17.3
2,2016-03-01 00:00:09,2016-03-01 00:10:09,2,2.66,-73.954658508300781,40.768909454345703,1,N,-73.976112365722656,40.744949340820313,1,11,0.5,0.5,2.46,0,0.3,14.76
1,2016-03-01 00:00:10,2016-03-01 00:10:01,1,1.70,-73.965614318847656,40.790332794189453,1,N,-73.947990417480469,40.774517059326172,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2016-03-01 00:00:10,2016-03-01 00:11:04,1,2.40,-73.987289428710938,40.755691528320313,1,N,-73.960845947265625,40.769500732421875,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,2016-03-01 00:00:10,2016-03-01 00:04:38,1,1.00,-73.981834411621094,40.756263732910156,1,N,-73.987060546875,40.748668670654297,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2016-03-01 00:00:11,2016-03-01 00:13:49,2,3.70,-73.951225280761719,40.782772064208984,1,N,-73.98895263671875,40.748260498046875,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2016-03-01 00:00:12,2016-03-01 00:08:41,1,1.30,-73.983009338378906,40.756183624267578,1,N,-73.965858459472656,40.754238128662109,1,7.5,0.5,0.5,0,0,0.3,8.8
1,2016-03-01 00:00:12,2016-03-01 00:29:57,1,9.20,-73.988624572753906,40.721683502197266,1,N,-73.938514709472656,40.817020416259766,1,31,0.5,0.5,8.05,0,0.3,40.35
2,2016-03-01 00:00:13,2016-03-01 00:04:56,5,.79,-73.991790771484375,40.749187469482422,1,N,-73.989509582519531,40.757778167724609,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2016-03-01 00:00:13,2016-03-01 00:02:42,1,.95,-73.995918273925781,40.738670349121094,1,N,-73.992034912109375,40.749496459960938,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-03-01 00:00:14,2016-03-01 00:21:58,1,6.90,-73.954185485839844,40.764141082763672,1,N,-73.902435302734375,40.826969146728516,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2016-03-01 00:00:14,2016-03-01 00:16:37,1,4.26,-73.961700439453125,40.654949188232422,1,N,-73.936126708984375,40.697719573974609,1,15.5,0.5,0.5,2,0,0.3,18.8
2,2016-03-01 00:00:14,2016-03-01 00:11:14,1,3.11,-73.989021301269531,40.718906402587891,1,N,-73.946708679199219,40.695648193359375,2,12,0.5,0.5,0,0,0.3,13.3
1,2016-03-01 00:00:15,2016-03-01 00:09:52,1,3.80,-73.97113037109375,40.75152587890625,1,N,-73.988739013671875,40.712821960449219,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2016-03-01 00:00:16,2016-03-01 00:11:59,1,2.80,-73.981971740722656,40.761695861816406,1,N,-73.974922180175781,40.793174743652344,2,11,0.5,0.5,0,0,0.3,12.3
2,2016-03-01 00:00:16,2016-03-01 00:03:56,1,1.21,-73.969039916992188,40.790981292724609,1,N,-73.962089538574219,40.805351257324219,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2016-03-01 00:00:16,2016-03-01 00:04:38,1,1.31,-73.998428344726563,40.740581512451172,1,N,-73.994590759277344,40.754989624023437,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2016-03-01 00:00:17,2016-03-01 00:12:02,1,2.70,-74.005783081054688,40.740409851074219,1,N,-73.981971740722656,40.764007568359375,1,11,0.5,0.5,2.45,0,0.3,14.75
2,2016-03-01 00:00:17,2016-03-01 00:25:34,1,5.39,-73.987136840820313,40.720516204833984,1,N,-73.969497680664063,40.761104583740234,1,20.5,0.5,0.5,4.36,0,0.3,26.16
2,2016-03-01 00:00:17,2016-03-01 00:13:03,1,2.82,-73.978790283203125,40.762466430664063,1,N,-73.989105224609375,40.730716705322266,1,11.5,0.5,0.5,3.2,0,0.3,16
2,2016-03-01 00:00:18,2016-03-01 00:09:52,1,2.07,-73.982505798339844,40.757244110107422,1,N,-73.985702514648437,40.778064727783203,1,9.5,0.5,0.5,1.7,0,0.3,12.5
1,2016-03-01 00:00:19,2016-03-01 00:18:02,1,7.70,-74.012901306152344,40.708072662353516,1,N,-73.961265563964844,40.649982452392578,1,23.5,0.5,0.5,1,0,0.3,25.8
1,2016-03-01 00:00:19,2016-03-01 00:18:07,1,5.10,-73.969039916992188,40.7908935546875,1,N,-73.989540100097656,40.734481811523438,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-03-01 00:00:19,2016-03-01 00:14:16,3,3.34,-73.982223510742188,40.758609771728516,1,N,-73.939552307128906,40.751731872558594,1,13,0.5,0.5,1,0,0.3,15.3
2,2016-03-01 00:00:19,2016-03-01 00:05:33,2,2.69,-74.002899169921875,40.749309539794922,1,N,-73.978469848632812,40.783138275146484,2,9,0.5,0.5,0,0,0.3,10.3
2,2016-03-01 00:00:19,2016-03-01 00:04:07,1,.71,-73.985908508300781,40.757598876953125,1,N,-73.992568969726563,40.753471374511719,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-03-01 00:00:19,2016-03-01 00:08:24,1,1.42,-73.992401123046875,40.758998870849609,1,N,-73.977081298828125,40.747108459472656,1,7.5,0.5,0.5,2.2,0,0.3,11
2,2016-03-01 00:00:20,2016-03-01 00:14:37,5,4.28,-73.983901977539062,40.7681884765625,1,N,-74.011253356933594,40.713478088378906,1,15,0.5,0.5,4.89,0,0.3,21.19
2,2016-03-01 00:00:20,2016-03-01 00:11:56,1,1.84,-73.997749328613281,40.756599426269531,1,N,-74.004707336425781,40.734531402587891,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2016-03-01 00:00:20,2016-03-01 00:18:00,6,3.95,-73.986541748046875,40.766788482666016,1,N,-73.977821350097656,40.726028442382813,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2016-03-01 00:00:20,2016-03-01 00:14:56,3,3.65,-73.987045288085938,40.755615234375,1,N,-73.946456909179688,40.776863098144531,1,14,0.5,0.5,3,0,0.3,18.3
2,2016-03-01 00:00:20,2016-03-01 00:15:31,6,9.46,-73.995429992675781,40.725002288818359,1,N,-73.859428405761719,40.735816955566406,1,26.5,0.5,0.5,4,0,0.3,31.8
2,2016-03-01 00:00:21,2016-03-01 00:03:19,1,.48,-73.99212646484375,40.725372314453125,1,N,-73.987060546875,40.729835510253906,2,4,0.5,0.5,0,0,0.3,5.3
2,2016-03-01 00:00:21,2016-03-01 00:38:01,1,19.35,-73.7894287109375,40.647716522216797,2,N,-73.970741271972656,40.793331146240234,1,52,0,0.5,6.66,5.54,0.3,65
2,2016-03-01 00:00:22,2016-03-01 00:21:37,1,11.25,-73.870773315429687,40.773689270019531,1,N,-73.98858642578125,40.759330749511719,1,32.5,0.5,0.5,11.8,5.54,0.3,51.14
1,2016-03-01 00:00:23,2016-03-01 00:08:39,1,2.20,-73.952049255371094,40.714130401611328,1,N,-73.967964172363281,40.689487457275391,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2016-03-01 00:00:23,2016-03-01 00:15:48,1,4.65,-73.97259521484375,40.756084442138672,1,N,-73.951286315917969,40.810333251953125,1,15.5,0.5,0.5,2,0,0.3,18.8
1,2016-03-01 00:00:24,2016-03-01 00:10:20,1,1.80,-74.005943298339844,40.740352630615234,1,N,-73.978439331054687,40.734275817871094,1,9,0.5,0.5,1,0,0.3,11.3
2,2016-03-01 00:00:24,2016-03-01 00:35:29,1,10.34,-73.990058898925781,40.761936187744141,1,N,-73.857772827148438,40.743255615234375,1,34.5,0.5,0.5,0,0,0.3,35.8
1,2016-03-01 00:00:25,2016-03-01 00:03:54,1,1.10,-73.972671508789063,40.755989074707031,1,N,-73.98126220703125,40.742069244384766,1,5.5,0.5,0.5,1,0,0.3,7.8
1,2016-03-01 00:00:25,2016-03-01 00:23:19,1,6.80,-73.979949951171875,40.749752044677734,1,N,-73.949684143066406,40.680770874023438,1,22.5,0.5,0.5,4.75,0,0.3,28.55
1,2016-03-01 00:00:25,2016-03-01 00:08:01,1,1.40,-73.982719421386719,40.74505615234375,1,N,-73.971824645996094,40.762039184570313,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2016-03-01 00:00:25,2016-03-01 00:12:16,1,6.30,-73.872520446777344,40.774509429931641,1,N,-73.954544067382813,40.742153167724609,1,19,0.5,0.5,4.06,0,0.3,24.36
2,2016-03-01 00:00:25,2016-03-01 00:14:45,1,5.52,-73.989578247070313,40.7205810546875,1,N,-73.939498901367188,40.790241241455078,1,16.5,0.5,0.5,2,0,0.3,19.8
1,2016-03-01 00:00:26,2016-03-01 00:04:54,1,.60,-73.97259521484375,40.759281158447266,1,N,-73.970329284667969,40.752353668212891,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2016-03-01 00:00:26,2016-03-01 00:19:26,1,3.40,-74.006126403808594,40.742332458496094,1,N,-73.991096496582031,40.719638824462891,2,15,0.5,0.5,0,0,0.3,16.3
2,2016-03-01 00:00:26,2016-03-01 00:16:58,1,9.79,-73.874435424804688,40.774021148681641,1,N,-74.001388549804688,40.721549987792969,2,27.5,0.5,0.5,0,0,0.3,28.8
2,2016-03-01 00:00:27,2016-03-01 00:07:37,4,1.04,-73.967933654785156,40.766998291015625,1,N,-73.981391906738281,40.768413543701172,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2016-03-01 00:00:27,2016-03-01 00:17:52,1,10.20,-73.874534606933594,40.774112701416016,1,N,-74.003662109375,40.715911865234375,1,29,0.5,0.5,6.06,0,0.3,36.36
2,2016-03-01 00:00:27,2016-03-01 00:08:03,1,2.54,-73.948333740234375,40.778316497802734,1,N,-73.925544738769531,40.805648803710937,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2016-03-01 00:00:27,2016-03-01 00:05:10,1,1.32,-73.990531921386719,40.734989166259766,1,N,-74.000892639160156,40.718551635742188,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2016-03-01 00:00:27,2016-03-01 00:08:36,2,1.51,-73.986038208007813,40.723098754882813,1,N,-74.002372741699219,40.733451843261719,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2016-03-01 00:00:28,2016-03-01 00:09:08,1,1.40,-73.9805908203125,40.676284790039063,1,N,-73.957328796386719,40.674293518066406,1,8,0.5,0.5,2.3,0,0.3,11.6
1,2016-03-01 00:00:29,2016-03-01 00:08:12,1,1.30,-74.010223388671875,40.721050262451172,1,N,-74.005805969238281,40.706245422363281,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2016-03-01 00:00:29,2016-03-01 00:05:52,3,1.16,-73.982742309570313,40.722930908203125,1,N,-73.984710693359375,40.734779357910156,1,6,0.5,0.5,0,0,0.3,7.3
2,2016-03-01 00:00:29,2016-03-01 00:04:53,5,.89,-73.991111755371094,40.723381042480469,1,N,-73.982620239257813,40.731239318847656,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2016-03-01 00:00:29,2016-03-01 00:15:43,1,7.06,-73.915901184082031,40.766738891601563,1,N,-73.959747314453125,40.772029876708984,1,21.5,0.5,0.5,2,5.54,0.3,30.34
2,2016-03-01 00:00:29,2016-03-01 00:16:52,2,5.57,-74.005813598632812,40.717899322509766,1,N,-73.953277587890625,40.771549224853516,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-03-01 00:00:29,2016-03-01 00:06:23,1,.99,-73.987419128417969,40.760688781738281,1,N,-73.991508483886719,40.750091552734375,2,6,0.5,0.5,0,0,0.3,7.3
1,2016-03-01 00:00:30,2016-03-01 00:04:32,1,.60,-73.983016967773437,40.742179870605469,1,N,-73.986465454101563,40.727031707763672,1,4.5,0.5,0.5,1,0,0.3,6.8
2,2016-03-01 00:00:30,2016-03-01 00:08:33,2,2.81,-73.966987609863281,40.761360168457031,1,N,-73.939468383789063,40.790512084960937,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2016-03-01 00:00:30,2016-03-01 00:12:18,3,2.45,-73.987403869628906,40.721866607666016,1,N,-73.991531372070313,40.745853424072266,1,10.5,0.5,0.5,1,0,0.3,12.8
2,2016-03-01 00:00:30,2016-03-01 00:10:57,1,2.61,-73.9783935546875,40.752273559570312,1,N,-73.977752685546875,40.778823852539063,1,10.5,0.5,0.5,2,0,0.3,13.8
1,2016-03-01 00:00:31,2016-03-01 00:06:19,1,1.00,-73.972755432128906,40.755905151367188,1,N,-73.98736572265625,40.756359100341797,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-03-01 00:00:31,2016-03-01 00:09:06,1,.73,-74.65130615234375,40.609260559082031,1,N,-74.65130615234375,40.609260559082031,1,6.5,0.5,0.5,1,0,0.3,8.8
2,2016-03-01 00:00:31,2016-03-01 00:08:31,2,1.92,-73.98663330078125,40.741226196289063,1,N,-73.99603271484375,40.718891143798828,1,8.5,0.5,0.5,2.94,0,0.3,12.74
2,2016-03-01 00:00:31,2016-03-01 00:13:00,1,3.25,-73.985877990722656,40.746841430664062,1,N,-74.007247924804687,40.707561492919922,1,12,0.5,0.5,2,0,0.3,15.3
2,2016-03-01 00:00:31,2016-03-01 00:10:27,1,4.83,-73.970809936523438,40.751819610595703,1,N,-74.005317687988281,40.708961486816406,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2016-03-01 00:00:32,2016-03-01 00:08:59,1,2.46,-73.97491455078125,40.761745452880859,1,N,-73.989089965820313,40.732303619384766,1,9.5,0.5,0.5,1,0,0.3,11.8
1,2016-03-01 00:00:34,2016-03-01 00:12:54,1,2.80,-73.975982666015625,40.760536193847656,1,N,-73.983146667480469,40.728172302246094,1,11.5,0.5,0.5,2,0,0.3,14.8
1,2016-03-01 00:00:35,2016-03-01 00:05:55,1,.80,-73.974197387695313,40.750988006591797,1,N,-73.989585876464844,40.756736755371094,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-03-01 00:00:35,2016-03-01 00:13:25,1,2.85,-73.952407836914062,40.810661315917969,1,N,-73.977371215820313,40.784358978271484,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2016-03-01 00:00:35,2016-03-01 00:15:03,1,4.33,-73.954826354980469,40.78363037109375,1,N,-73.997177124023438,40.734905242919922,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2016-03-01 00:00:35,2016-03-01 00:14:40,1,5.06,-73.976417541503906,40.785839080810547,1,N,-73.940498352050781,40.842960357666016,1,17,0.5,0.5,3.1,0,0.3,21.4
2,2016-03-01 00:00:36,2016-03-01 00:03:54,1,.54,-73.956260681152344,40.803329467773438,1,N,-73.963058471679688,40.801898956298828,1,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-03-01 00:00:37,2016-03-01 00:06:40,1,1.10,-73.988601684570313,40.757087707519531,1,N,-73.988822937011719,40.768932342529297,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2016-03-01 00:00:38,2016-03-01 00:24:06,1,9.50,-73.975090026855469,40.750595092773438,1,N,-73.961784362792969,40.654178619384766,1,29,0.5,0.5,6.05,0,0.3,36.35
2,2016-03-01 00:00:38,2016-03-01 00:04:00,3,.55,-73.945945739746094,40.792743682861328,1,N,-73.947288513183594,40.790916442871094,2,4,0.5,0.5,0,0,0.3,5.3
1,2016-03-01 00:00:39,2016-03-01 00:06:48,1,1.50,-73.988487243652344,40.737354278564453,1,N,-73.9969482421875,40.719280242919922,3,7,0.5,0.5,0,0,0.3,8.3
1,2016-03-01 00:00:40,2016-03-01 00:11:23,1,2.40,-73.9739990234375,40.743122100830078,1,N,-73.967658996582031,40.770332336425781,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2016-03-01 00:00:40,2016-03-01 00:07:13,1,1.20,-73.987579345703125,40.700035095214844,1,N,-73.972969055175781,40.694057464599609,1,7,0.5,0.5,1,0,0.3,9.3
1,2016-03-01 00:00:40,2016-03-01 00:12:30,1,5.40,-73.9962158203125,40.759990692138672,1,N,-73.953033447265625,40.809482574462891,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,2016-03-01 00:00:40,2016-03-01 00:08:47,1,1.43,-73.998832702636719,40.724967956542969,1,N,-74.008995056152344,40.738143920898438,1,7.5,0.5,0.5,2.64,0,0.3,11.44
2,2016-03-01 00:00:41,2016-03-01 00:11:38,1,2.99,-73.977485656738281,40.753040313720703,1,N,-74.002586364746094,40.719970703125,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2016-03-01 00:00:41,2016-03-01 00:03:24,2,.46,-74.010169982910156,40.719333648681641,1,N,-74.013595581054688,40.716720581054688,2,4,0.5,0.5,0,0,0.3,5.3
1,2016-03-01 00:00:42,2016-03-01 00:12:52,1,3.40,-73.986610412597656,40.761936187744141,1,N,-73.942390441894531,40.748672485351563,1,12.5,0.5,0.5,4.1,0,0.3,17.9
1,2016-03-01 00:00:42,2016-03-01 00:03:31,1,.90,-73.97314453125,40.764030456542969,1,N,-73.981307983398437,40.753067016601563,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2016-03-01 00:00:42,2016-03-01 00:07:32,1,1.32,-73.993995666503906,40.720108032226563,1,N,-73.98394775390625,40.737625122070313,2,7,0.5,0.5,0,0,0.3,8.3
1,2016-03-01 00:00:43,2016-03-01 00:07:09,1,1.00,-73.981979370117187,40.763042449951172,1,N,-73.96868896484375,40.754783630371094,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-03-01 00:00:43,2016-03-01 00:16:22,1,4.76,-74.007926940917969,40.748172760009766,1,N,-73.96783447265625,40.792976379394531,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-03-01 00:00:43,2016-03-01 00:08:38,1,4.51,-73.972183227539063,40.794891357421875,1,N,-73.939369201660156,40.848270416259766,1,14,0.5,0.5,2,0,0.3,17.3
2,2016-03-01 00:00:43,2016-03-01 00:08:36,1,1.42,-73.97393798828125,40.753551483154297,1,N,-73.98504638671875,40.765998840332031,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2016-03-01 00:00:44,2016-03-01 00:08:51,2,2.30,-73.977531433105469,40.753341674804688,1,N,-74.001350402832031,40.731292724609375,1,9,0.5,0.5,3.05,0,0.3,13.35
1,2016-03-01 00:00:44,2016-03-01 00:05:08,1,.50,-73.976722717285156,40.683856964111328,1,N,-73.978515625,40.689357757568359,1,5,0.5,0.5,4,0,0.3,10.3
2,2016-03-01 00:00:44,2016-03-01 00:21:27,1,5.66,-73.974998474121094,40.757671356201172,1,N,-73.89971923828125,40.725658416748047,2,20,0.5,0.5,0,0,0.3,21.3
2,2016-03-01 00:00:44,2016-03-01 00:05:50,6,1.47,-73.977409362792969,40.752193450927734,1,N,-73.996337890625,40.747688293457031,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,2016-03-01 00:00:45,2016-03-01 00:15:37,1,2.80,-74.006011962890625,40.740119934082031,1,N,-73.972610473632812,40.756317138671875,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2016-03-01 00:00:45,2016-03-01 00:39:48,3,18.34,-73.793167114257813,40.656829833984375,5,N,-73.793167114257813,40.656829833984375,2,58.34,0,0.5,0,0,0.3,59.14
2,2016-03-01 00:00:45,2016-03-01 00:07:41,6,1.74,-73.9786376953125,40.762779235839844,1,N,-73.977302551269531,40.783618927001953,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2016-03-01 00:00:46,2016-03-01 00:40:15,1,20.20,-73.789932250976563,40.643650054931641,2,Y,-73.979766845703125,40.714557647705078,2,52,0,0.5,0,0,0.3,52.8
2,2016-03-01 00:00:46,2016-03-01 00:05:59,1,.90,-73.973236083984375,40.759590148925781,1,N,-73.987953186035156,40.765026092529297,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2016-03-01 00:00:46,2016-03-01 00:14:26,1,3.37,-73.951950073242188,40.779609680175781,1,N,-73.989189147949219,40.756309509277344,1,13,0.5,0.5,1,0,0.3,15.3
2,2016-03-01 00:00:46,2016-03-01 00:10:17,1,1.20,-73.975669860839844,40.756771087646484,1,N,-73.983161926269531,40.766883850097656,1,8,0.5,0.5,2.32,0,0.3,11.62
2,2016-03-01 00:00:47,2016-03-01 00:38:12,2,18.95,-73.790237426757813,40.644039154052734,2,N,-73.960411071777344,40.815868377685547,2,52,0,0.5,0,5.54,0.3,58.34
1,2016-03-01 00:00:49,2016-03-01 00:13:29,4,2.50,-73.987335205078125,40.737899780273438,1,N,-73.983375549316406,40.764541625976562,1,11,0.5,0.5,3.07,0,0.3,15.37
2,2016-03-01 00:00:49,2016-03-01 00:15:35,6,3.32,-73.996963500976563,40.729778289794922,1,N,-73.998970031738281,40.760959625244141,1,13,0.5,0.5,1,0,0.3,15.3
1,2016-03-01 00:00:50,2016-03-01 00:13:35,1,3.90,-73.991592407226562,40.726394653320312,1,N,-73.95220947265625,40.749530792236328,2,14,0.5,0.5,0,0,0.3,15.3
1,2016-03-01 00:00:50,2016-03-01 00:01:40,2,.20,-73.988563537597656,40.749240875244141,1,N,-73.985275268554688,40.750213623046875,2,3,0.5,0.5,0,0,0.3,4.3
2,2016-03-01 00:00:51,2016-03-01 00:12:14,1,2.81,-73.987838745117188,40.744220733642578,1,N,-73.979118347167969,40.713764190673828,1,12,0.5,0.5,3.32,0,0.3,16.62
